	[Abort Jobs]
	OID	Abort	Delay
[1]	111	6	0
[2]	115	6	0
[3]	116	6	0
[4]	119	6	0
[5]	298	6	0
[6]	267	30	0
[7]	117	45	0
[8]	274	50	0
[9]	206	97	0
[10]	122	250	0
[11]	121	447	446
[12]	272	447	446
[13]	131	447	445
[14]	600	515	508
[15]	600	610	523
[16]	101	601	0
[17]	102	601	0
[18]	103	601	0
[19]	104	601	0
[20]	105	601	0
[21]	106	601	0
[22]	205	601	0
[23]	107	603	0
[24]	108	604	0
[25]	370	610	109
[26]	132	610	468
[27]	87	231	-456
	[Jobs Done]
	OID	Departure	Delay
[1]	2	447	-94
[Average Delay] 85.54 ms
[Success Rate] 3.57 %
